Date,Baseload in ct/kWh,MW Wind Onshore in ct/kwh,MW Wind Offshore in ct/kwh,Solar in ct/kwh,Capture factor MW Wind Onshore,Capture factor MW Wind Offshore,Capture factor Solar,Price_volatility,Price_volatility_adj
2021-06-01,7.408,6.33,6.884,6.864,0.8544816414686824,0.9292656587473003,0.9265658747300215,21.71953244676757,-0.2348109641167414
2021-07-01,8.137,6.808,7.252,7.409,0.8366719921346933,0.8912375568391299,0.9105321371512842,23.132206041881474,0.06504162088093879
2021-08-01,8.27,7.253,7.531,7.681,0.877025392986699,0.9106408706166869,0.9287787182587667,26.731169071959588,0.15558235230838324
2021-09-01,12.837,11.754,12.25,11.715,0.9156344940406637,0.9542728051725481,0.9125964010282777,35.20630449477915,0.3170506834177256
2021-10-01,13.949,10.982,12.556,12.804,0.7872965804000286,0.900136210481038,0.917915262742849,70.03088076012074,0.9891573899926314
2021-11-01,17.615,14.056,15.649,18.307,0.7979562872551803,0.8883905762134545,1.039284700539313,72.35170491224159,0.03314001090562391
2021-12-01,22.106,16.077,18.426,27.075,0.7272686148556953,0.8335293585451912,1.2247806025513435,115.77291408173039,0.6001407875896803
2022-01-01,16.773,12.883,14.476,17.838,0.7680796518213796,0.8630537172837299,1.0634949025219103,76.0244142407302,-0.3433316001093275
2022-02-01,12.88,10.825,11.845,11.871,0.8404503105590061,0.9196428571428571,0.9216614906832298,63.016974241794685,-0.17109556356130073
2022-03-01,25.201,19.766,20.701,20.712,0.7843339550017856,0.8214356573151859,0.8218721479306377,114.0191935338566,0.8093409736933348
2022-04-01,16.573,12.703,13.353,14.566,0.7664876606528691,0.8057080794062632,0.878899414710674,72.05503954749327,-0.3680446483240788
2022-05-01,17.748,13.242,14.024,15.132,0.7461122379986478,0.7901735406806399,0.852603110209601,67.25698739059574,-0.06658871033905978
2022-06-01,21.803,19.692,19.909,18.94,0.9031784616795854,0.9131312204742466,0.8686877952575334,85.15446766124596,0.2661058867640085
2022-07-01,31.5,27.824,28.687,26.093,0.8833015873015874,0.9106984126984128,0.8283492063492064,120.31847184498183,0.412943738003533
2022-08-01,46.518,46.092,47.611,39.91,0.9908422546111182,1.0234962810095016,0.8579474611978158,165.49966823416864,0.3755133829109649
2022-09-01,34.612,28.238,29.358,31.673,0.8158442158788859,0.8482029353981277,0.9150872529758465,150.65470445345878,-0.08969784615945842
2022-10-01,15.26,12.715,13.694,12.904,0.833224115334207,0.8973787680209699,0.8456094364351245,88.26607730144167,-0.41411668741675844
2022-11-01,17.363,13.718,14.414,15.374,0.7900708402925762,0.8301560790186028,0.8854460634682947,99.92477684284907,0.132085846543188
2022-12-01,25.162,14.164,20.054,24.661,0.5629123281138224,0.7969954693585565,0.9800890231301169,161.41603108903146,0.615375447301616
2023-01-01,11.783,8.726,9.65,12.291,0.7405584316388018,0.818976491555631,1.0431129593482136,116.7864572335353,-0.27648786526587343
2023-02-01,12.831,10.62,11.051,12.343,0.8276829553425298,0.861273478294755,0.9619671109032811,37.264509298015945,-0.6809175465996119
2023-03-01,10.252,8.515,8.955,8.883,0.8305696449473273,0.8734880998829496,0.8664650799843931,39.77630498909006,0.06740450198837977
2023-04-01,10.074,8.94,9.26,8.002,0.8874329958308517,0.9191979352789359,0.794322017073655,36.37021080564818,-0.08563123659616223
2023-05-01,8.172,8.095,8.058,5.356,0.9905775819872736,0.9860499265785608,0.6554087126774351,39.78862424398147,0.09398937654225592
2023-06-01,9.476,9.236,9.147,7.124,0.9746728577458843,0.9652807091599831,0.7517940059096664,36.67445081869292,-0.07826793422644174
2023-07-01,7.761,5.445,6.051,5.173,0.7015848473134906,0.7796675686122922,0.6665378172915861,53.30307236764406,0.45341160338454367
2023-08-01,9.432,6.613,7.334,7.533,0.7011238337574216,0.7775657336726038,0.7986641221374046,42.3517941984101,-0.20545303831081962
2023-09-01,10.072,8.566,8.874,7.447,0.8504765687053218,0.8810563939634632,0.7393764892772042,48.391893161079146,0.1426173100098742
2023-10-01,8.738,6.864,7.426,6.763,0.7855344472419318,0.8498512245365073,0.7739757381551843,48.498718148273674,0.0022074975830961296
2023-11-01,9.112,7.653,7.915,8.525,0.8398814749780509,0.8686347673397717,0.9355794556628622,42.460743136915795,-0.12449762059479919
2023-12-01,6.852,4.409,5.562,6.592,0.6434617629889083,0.8117338003502627,0.9620548744892001,47.16249488067928,0.11073173468967701
